"","EconGeo::diversity(mat, RCA = TRUE)"
"AGUASCALIENTES",7
"BAJA CALIFORNIA",13
"BAJA CALIFORNIA SUR",1
"CAMPECHE",1
"CHIAPAS",5
"CHIHUAHUA",11
"CIUDAD DE MEXICO",12
"COAHUILA",10
"COLIMA",6
"DURANGO",7
"GUANAJUATO",4
"GUERRERO",2
"HIDALGO",10
"JALISCO",4
"MEXICO",13
"MICHOACAN",6
"MORELOS",11
"NAYARIT",4
"NUEVO LEON",10
"OAXACA",2
"PUEBLA",13
"QUERETARO",8
"QUINTANA ROO",9
"SAN LUIS POTOSI",10
"SINALOA",1
"SONORA",2
"TABASCO",5
"TAMAULIPAS",10
"TLAXCALA",8
"VERACRUZ",4
"YUCATAN",9
"ZACATECAS",7
