"","Hachman(mat)"
"AGUASCALIENTES",0.818279949414303
"BAJA CALIFORNIA",0.665025554207717
"BAJA CALIFORNIA SUR",0.534749370866224
"CAMPECHE",0.527474541086114
"CHIAPAS",0.368904982740754
"CHIHUAHUA",0.542869942597774
"CIUDAD DE MEXICO",0.32045359074461
"COAHUILA",0.531567613505311
"COLIMA",0.503731439111574
"DURANGO",0.608435830982297
"GUANAJUATO",0.456569129259949
"GUERRERO",0.635944809472247
"HIDALGO",0.648778612579269
"JALISCO",0.777479800282438
"MEXICO",0.451050154370644
"MICHOACAN",0.842320820216669
"MORELOS",0.324526595613711
"NAYARIT",0.872988246502525
"NUEVO LEON",0.440295039326287
"OAXACA",0.864886509795159
"PUEBLA",0.615528040643838
"QUERETARO",0.485706237762215
"QUINTANA ROO",0.547619273739135
"SAN LUIS POTOSI",0.650083631420945
"SINALOA",0.552339085432494
"SONORA",0.592410279060095
"TABASCO",0.655672629860835
"TAMAULIPAS",0.889297416830963
"TLAXCALA",0.663869684808107
"VERACRUZ",0.876409974697997
"YUCATAN",0.869217639379558
"ZACATECAS",0.815308131602134
