"","Krugman.index(mat)"
"AGUASCALIENTES",0.363218554438414
"BAJA CALIFORNIA",0.530623020833485
"BAJA CALIFORNIA SUR",0.879438666534777
"CAMPECHE",0.904829499652461
"CHIAPAS",0.731124645440866
"CHIHUAHUA",0.779871954063506
"CIUDAD DE MEXICO",1.19754162342529
"COAHUILA",0.732392745703845
"COLIMA",0.357965965582302
"DURANGO",0.725334194123315
"GUANAJUATO",0.888498090535252
"GUERRERO",0.720114212684726
"HIDALGO",0.367638198619603
"JALISCO",0.440099724893746
"MEXICO",0.845948331083847
"MICHOACAN",0.369504688892123
"MORELOS",0.909509919208291
"NAYARIT",0.290461784856304
"NUEVO LEON",0.932861337434698
"OAXACA",0.32110698714934
"PUEBLA",0.694187461638574
"QUERETARO",0.914791440178715
"QUINTANA ROO",0.706323592928833
"SAN LUIS POTOSI",0.674082312582179
"SINALOA",0.859429714725351
"SONORA",0.77441938281108
"TABASCO",0.695164280750187
"TAMAULIPAS",0.262919428446541
"TLAXCALA",0.49942570108955
"VERACRUZ",0.351035623924671
"YUCATAN",0.240040721044369
"ZACATECAS",0.34367572102246
