"","MORc(mat, RCA = T, steps = 1)"
"AGUASCALIENTES",14.2857142857143
"BAJA CALIFORNIA",13.2307692307692
"BAJA CALIFORNIA SUR",8
"CAMPECHE",8
"CHIAPAS",13
"CHIHUAHUA",14.0909090909091
"CIUDAD DE MEXICO",14
"COAHUILA",14
"COLIMA",12.6666666666667
"DURANGO",15
"GUANAJUATO",12
"GUERRERO",11
"HIDALGO",14.2
"JALISCO",15.25
"MEXICO",13.3076923076923
"MICHOACAN",13.5
"MORELOS",13.9090909090909
"NAYARIT",10.75
"NUEVO LEON",13.7
"OAXACA",15.5
"PUEBLA",13.2307692307692
"QUERETARO",14.25
"QUINTANA ROO",13.5555555555556
"SAN LUIS POTOSI",13.9
"SINALOA",8
"SONORA",9
"TABASCO",12.8
"TAMAULIPAS",13.5
"TLAXCALA",14.875
"VERACRUZ",12.5
"YUCATAN",13.1111111111111
"ZACATECAS",14.5714285714286
