"","SECTOR 11","SECTOR 21","SECTOR 22","SECTOR 23","SECTOR 31-33","SECTOR 43","SECTOR 46","SECTOR 48-49","SECTOR 51","SECTOR 52","SECTOR 53","SECTOR 54","SECTOR 55","SECTOR 56","SECTOR 61","SECTOR 62","SECTOR 71","SECTOR 72","SECTOR 81"
"SECTOR 11",0,0,3.27173913043478,0,0,1.11481481481481,0,2.09027777777778,1.98026315789474,1.38073394495413,0,0,0,0,2.5948275862069,1.39351851851852,1.33185840707965,1.21370967741935,2.21323529411765
"SECTOR 21",0,0,0.417668825161887,1.06737588652482,1.06737588652482,0.996217494089834,1.07484005356346,1.60106382978723,1.51679731243001,1.58637517079836,0.835337650323774,1.39729206963249,0,0.985270049099836,0.662509170946442,0.889479905437352,1.02014686499718,0.92964996568291,0.988892365456821
"SECTOR 22",3.27173913043478,0.417668825161887,0,0,1.09057971014493,1.16328502415459,1.0982061416844,0.545289855072464,0.516590389016018,1.08057439170323,0.682797731568998,0.713833992094862,0,1.0066889632107,1.35382308845577,1.45410628019324,1.38976529434398,1.26647966339411,1.15473145780051
"SECTOR 23",0,1.06737588652482,0,0,1.39351851851852,1.11481481481481,1.05244755244755,1.39351851851852,1.32017543859649,1.84097859327217,1.30869565217391,0.912121212121212,0,0.428774928774929,1.29741379310345,0.464506172839506,0.887905604719764,0.809139784946237,0.737745098039216
"SECTOR 31-33",0,1.06737588652482,1.09057971014493,1.39351851851852,0,1.11481481481481,1.14015151515152,1.2193287037037,0.825109649122807,1.15061162079511,1.30869565217391,1.14015151515152,0,1.07193732193732,1.08117816091954,0.929012345679012,0.887905604719764,1.11256720430108,1.10661764705882
"SECTOR 43",1.11481481481481,0.996217494089834,1.16328502415459,1.11481481481481,1.11481481481481,0,1.12261072261072,0.929012345679012,1.05614035087719,1.22731906218145,0.930628019323672,0.972929292929293,0,1.02905982905983,1.26858237547893,0.990946502057613,1.06548672566372,1.18673835125448,1.08202614379085
"SECTOR 46",0,1.07484005356346,1.0982061416844,1.05244755244755,1.14015151515152,1.12261072261072,0,1.05244755244755,0.997055576002944,0.92692628472445,1.0982061416844,1.03331214240305,0,1.18737672583826,0.979864962623583,1.16938616938617,1.11764341852837,1.22219715768103,1.11435623200329
"SECTOR 48-49",2.09027777777778,1.60106382978723,0.545289855072464,1.39351851851852,1.2193287037037,0.929012345679012,1.05244755244755,0,0.660087719298246,0.920489296636086,0.872463768115942,1.36818181818182,0,1.07193732193732,0.864942528735632,0.696759259259259,0.665929203539823,1.0114247311828,1.47549019607843
"SECTOR 51",1.98026315789474,1.51679731243001,0.516590389016018,1.32017543859649,0.825109649122807,1.05614035087719,0.997055576002944,0.660087719298246,0,1.09005311443747,1.03318077803204,1.08014354066986,0,1.21862348178138,0.819419237749546,1.10014619883041,1.26176059618072,0.958191850594228,1.0483746130031
"SECTOR 52",1.38073394495413,1.58637517079836,1.08057439170323,1.84097859327217,1.15061162079511,1.22731906218145,0.92692628472445,0.920489296636086,1.09005311443747,0,1.00853609892302,1.20500417014178,0,0.849682427664079,0.999841822208162,0.920489296636086,1.17301290898758,0.801716484166913,0.852806260118726
"SECTOR 53",0,0.835337650323774,0.682797731568998,1.30869565217391,1.30869565217391,0.930628019323672,1.0982061416844,0.872463768115942,1.03318077803204,1.00853609892302,0,1.28490118577075,0,1.20802675585284,1.08305847076462,1.01787439613527,1.11181223547518,1.1398316970547,1.03925831202046
"SECTOR 54",0,1.39729206963249,0.713833992094862,0.912121212121212,1.14015151515152,0.972929292929293,1.03331214240305,1.36818181818182,1.08014354066986,1.20500417014178,1.28490118577075,0,0,1.12261072261072,0.849216300940439,1.06414141414141,0.871761866452132,1.191642228739,0.845053475935829
"SECTOR 55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SECTOR 56",0,0.985270049099836,1.0066889632107,0.428774928774929,1.07193732193732,1.02905982905983,1.18737672583826,1.07193732193732,1.21862348178138,0.849682427664079,1.20802675585284,1.12261072261072,0,0,1.06454465075155,1.14339981006648,1.09280689811663,1.12034739454094,1.13499245852187
"SECTOR 61",2.5948275862069,0.662509170946442,1.35382308845577,1.29741379310345,1.08117816091954,1.26858237547893,0.979864962623583,0.864942528735632,0.819419237749546,0.999841822208162,1.08305847076462,0.849216300940439,0,1.06454465075155,0,1.29741379310345,1.10222764723833,1.00444938820912,1.25925456389452
"SECTOR 62",1.39351851851852,0.889479905437352,1.45410628019324,0.464506172839506,0.929012345679012,0.990946502057613,1.16938616938617,0.696759259259259,1.10014619883041,0.920489296636086,1.01787439613527,1.06414141414141,0,1.14339981006648,1.29741379310345,0,1.18387413962635,1.07885304659498,1.22957516339869
"SECTOR 71",1.33185840707965,1.02014686499718,1.38976529434398,0.887905604719764,0.887905604719764,1.06548672566372,1.11764341852837,0.665929203539823,1.26176059618072,1.17301290898758,1.11181223547518,0.871761866452132,0,1.09280689811663,1.10222764723833,1.18387413962635,0,1.16000570939195,1.0576522644456
"SECTOR 72",1.21370967741935,0.92964996568291,1.26647966339411,0.809139784946237,1.11256720430108,1.18673835125448,1.22219715768103,1.0114247311828,0.958191850594228,0.801716484166913,1.1398316970547,1.191642228739,0,1.12034739454094,1.00444938820912,1.07885304659498,1.16000570939195,0,0.963828273244782
"SECTOR 81",2.21323529411765,0.988892365456821,1.15473145780051,0.737745098039216,1.10661764705882,1.08202614379085,1.11435623200329,1.47549019607843,1.0483746130031,0.852806260118726,1.03925831202046,0.845053475935829,0,1.13499245852187,1.25925456389452,1.22957516339869,1.0576522644456,0.963828273244782,0
